ID,salesOrder_ID,lineNo,product_ID,quantity,uom,unitPrice,totalPrice,plant_ID
e3f4a5b6-0001-4000-b000-000000000001,a2b3c4d5-0001-4000-a000-000000000001,10,6938a9a0-621e-4682-89f5-4422e1858804,2500.00,BAG,150.00,375000.00,b1a1c1d1-0001-4000-a000-000000000001
e3f4a5b6-0002-4000-b000-000000000002,a2b3c4d5-0001-4000-a000-000000000001,20,6938a9a0-621e-4682-89f5-4422e1858805,1250.00,BAG,150.00,187500.00,b1a1c1d1-0002-4000-a000-000000000002
e3f4a5b6-0003-4000-b000-000000000003,a2b3c4d5-0002-4000-a000-000000000002,10,6938a9a0-621e-4682-89f5-4422e1858804,1250.00,BAG,150.00,187500.00,b1a1c1d1-0001-4000-a000-000000000001
e3f4a5b6-0004-4000-b000-000000000004,a2b3c4d5-0003-4000-a000-000000000003,10,6938a9a0-621e-4682-89f5-4422e1858804,1500.00,BAG,150.00,225000.00,b1a1c1d1-0003-4000-a000-000000000003
e3f4a5b6-0005-4000-b000-000000000005,a2b3c4d5-0003-4000-a000-000000000003,20,6938a9a0-621e-4682-89f5-4422e1858805,1000.00,BAG,150.00,150000.00,b1a1c1d1-0002-4000-a000-000000000002
e3f4a5b6-0006-4000-b000-000000000006,a2b3c4d5-0004-4000-a000-000000000004,10,6938a9a0-621e-4682-89f5-4422e1858805,625.00,BAG,150.00,93750.00,b1a1c1d1-0004-4000-a000-000000000004
e3f4a5b6-0007-4000-b000-000000000007,a2b3c4d5-0005-4000-a000-000000000005,10,6938a9a0-621e-4682-89f5-4422e1858804,1000.00,BAG,150.00,150000.00,b1a1c1d1-0001-4000-a000-000000000001
e3f4a5b6-0008-4000-b000-000000000008,a2b3c4d5-0005-4000-a000-000000000005,20,6938a9a0-621e-4682-89f5-4422e1858805,875.00,BAG,150.00,131250.00,b1a1c1d1-0002-4000-a000-000000000002
e3f4a5b6-0009-4000-b000-000000000009,a2b3c4d5-0006-4000-a000-000000000006,10,6938a9a0-621e-4682-89f5-4422e1858804,2000.00,BAG,150.00,300000.00,b1a1c1d1-0003-4000-a000-000000000003
e3f4a5b6-0010-4000-b000-000000000010,a2b3c4d5-0006-4000-a000-000000000006,20,6938a9a0-621e-4682-89f5-4422e1858805,1125.00,BAG,150.00,168750.00,b1a1c1d1-0003-4000-a000-000000000003
e3f4a5b6-0011-4000-b000-000000000011,a2b3c4d5-0007-4000-a000-000000000007,10,6938a9a0-621e-4682-89f5-4422e1858804,1000.00,BAG,150.00,150000.00,b1a1c1d1-0004-4000-a000-000000000004
